colonna,range,inclusivo,min,max,n,winrate,profit_u,roi_pct,break_even_odd
odd_2,3.10-3.15,False,3.1000000000000014,3.1500000000000017,35,0.8571428571428571,6.399999999999997,18.285714285714278,1.1666666666666667
odd_2,4.15-4.20,False,4.150000000000003,4.200000000000003,33,0.8484848484848485,5.639999999999997,17.090909090909083,1.1785714285714286
odd_1,1.35-1.40,False,1.35,1.4000000000000001,53,0.8301886792452831,7.719999999999995,14.566037735849047,1.2045454545454546
odd_fav,1.35-1.40,False,1.35,1.4000000000000001,58,0.8275862068965517,8.239999999999995,14.20689655172413,1.2083333333333333
spread_fav_dog,1.30-1.35,False,1.3000000000000003,1.3500000000000003,69,0.8260869565217391,9.659999999999993,13.99999999999999,1.2105263157894737
odd_1,1.40-1.45,False,1.4000000000000001,1.4500000000000002,35,0.8,3.639999999999997,10.399999999999991,1.25
odd_2,3.65-3.70,False,3.650000000000002,3.700000000000002,35,0.8,3.639999999999997,10.399999999999991,1.25
odd_dog,4.20-4.25,False,4.199999999999996,4.249999999999996,40,0.8,4.159999999999997,10.399999999999991,1.25
odd_x,3.15-3.20,False,3.1499999999999977,3.1999999999999975,76,0.7894736842105263,6.799999999999994,8.947368421052623,1.2666666666666666
spread_fav_dog,1.55-1.60,False,1.5500000000000005,1.6000000000000005,71,0.7887323943661971,6.279999999999994,8.845070422535203,1.267857142857143
spread_fav_dog,1.45-1.50,False,1.4500000000000004,1.5000000000000004,61,0.7868852459016393,5.239999999999995,8.590163934426222,1.2708333333333333
odd_dog,3.15-3.20,False,3.1499999999999995,3.1999999999999993,70,0.7857142857142857,5.899999999999995,8.428571428571422,1.2727272727272727
odd_1,2.25-2.30,False,2.250000000000001,2.3000000000000007,78,0.782051282051282,6.179999999999993,7.923076923076914,1.278688524590164
odd_1,2.10-2.15,False,2.1000000000000005,2.150000000000001,87,0.7816091954022989,6.839999999999993,7.862068965517233,1.2794117647058822
odd_2,3.15-3.20,False,3.1500000000000017,3.200000000000002,41,0.7804878048780488,3.1599999999999966,7.7073170731707235,1.28125
odd_2,3.30-3.35,False,3.3000000000000016,3.3500000000000023,41,0.7804878048780488,3.1599999999999966,7.7073170731707235,1.28125
odd_x,3.90-3.95,False,3.899999999999995,3.949999999999995,59,0.7796610169491526,4.479999999999997,7.593220338983045,1.2826086956521738
spread_fav_dog,1.80-1.85,False,1.8000000000000007,1.8500000000000008,36,0.7777777777777778,2.639999999999997,7.333333333333325,1.2857142857142856
odd_2,2.95-3.00,False,2.9500000000000015,3.0000000000000018,72,0.7777777777777778,5.279999999999994,7.333333333333325,1.2857142857142856
odd_1,2.35-2.40,False,2.350000000000001,2.4000000000000012,99,0.7777777777777778,7.259999999999991,7.333333333333323,1.2857142857142856
odd_2,3.05-3.10,False,3.0500000000000016,3.1000000000000014,67,0.7761194029850746,4.7599999999999945,7.104477611940291,1.2884615384615383
odd_2,3.45-3.50,False,3.450000000000002,3.5000000000000018,39,0.7692307692307693,2.399999999999997,6.153846153846146,1.2999999999999998
odd_dog,4.00-4.05,False,3.9999999999999964,4.049999999999996,39,0.7692307692307693,2.399999999999997,6.153846153846146,1.2999999999999998
spread_fav_dog,1.40-1.45,False,1.4000000000000004,1.4500000000000004,65,0.7692307692307693,3.999999999999993,6.153846153846143,1.2999999999999998
odd_2,2.45-2.50,False,2.450000000000001,2.500000000000001,60,0.7666666666666667,3.479999999999997,5.7999999999999945,1.3043478260869565
odd_2,3.60-3.65,False,3.6000000000000023,3.650000000000002,34,0.7647058823529411,1.8799999999999972,5.529411764705874,1.3076923076923077
odd_fav,1.40-1.45,False,1.4000000000000001,1.4500000000000002,38,0.7631578947368421,2.019999999999996,5.3157894736842,1.3103448275862069
odd_2,2.75-2.80,False,2.7500000000000013,2.8000000000000016,63,0.7619047619047619,3.239999999999995,5.142857142857134,1.3125
odd_fav,2.40-2.45,False,2.4000000000000012,2.450000000000001,117,0.7606837606837606,5.819999999999993,4.974358974358969,1.3146067415730338
odd_dog,3.70-3.75,False,3.6999999999999975,3.7499999999999973,79,0.759493670886076,3.7999999999999936,4.810126582278473,1.3166666666666667
odd_1,1.95-2.00,False,1.9500000000000006,2.000000000000001,99,0.7575757575757576,4.499999999999993,4.545454545454538,1.32
spread_fav_dog,2.05-2.10,False,2.0500000000000007,2.100000000000001,33,0.7575757575757576,1.4999999999999964,4.545454545454534,1.32
odd_x,3.95-4.00,False,3.949999999999995,3.9999999999999947,37,0.7567567567567568,1.639999999999997,4.4324324324324245,1.3214285714285714
odd_1,2.40-2.45,False,2.4000000000000012,2.450000000000001,78,0.7564102564102564,3.4199999999999946,4.384615384615378,1.3220338983050848
odd_fav,2.35-2.40,False,2.350000000000001,2.4000000000000012,168,0.7559523809523809,7.259999999999984,4.321428571428561,1.3228346456692914
spread_fav_dog,1.00-1.05,False,1.0,1.05,127,0.7559055118110236,5.47999999999999,4.314960629921251,1.3229166666666667
odd_x,4.05-4.10,False,4.0499999999999945,4.099999999999994,40,0.75,1.3999999999999968,3.499999999999992,1.3333333333333333
odd_2,2.40-2.45,False,2.4000000000000012,2.450000000000001,44,0.75,1.5399999999999956,3.49999999999999,1.3333333333333333
odd_dog,3.60-3.65,False,3.599999999999998,3.6499999999999977,139,0.7482014388489209,4.519999999999989,3.251798561151071,1.3365384615384615
odd_2,2.60-2.65,False,2.6000000000000014,2.6500000000000012,59,0.7457627118644068,1.7199999999999953,2.915254237288128,1.3409090909090908
odd_2,3.35-3.40,False,3.3500000000000023,3.400000000000002,51,0.7450980392156863,1.439999999999996,2.823529411764698,1.3421052631578947
spread_fav_dog,1.85-1.90,False,1.8500000000000008,1.9000000000000008,39,0.7435897435897436,1.019999999999996,2.615384615384605,1.3448275862068966
odd_fav,1.95-2.00,False,1.9500000000000006,2.000000000000001,136,0.7426470588235294,3.3799999999999883,2.48529411764705,1.3465346534653464
odd_x,4.20-4.25,False,4.199999999999994,4.249999999999994,31,0.7419354838709677,0.7399999999999984,2.387096774193543,1.3478260869565217
odd_fav,2.10-2.15,False,2.1000000000000005,2.150000000000001,122,0.7377049180327869,2.1999999999999886,1.8032786885245808,1.3555555555555554
odd_x,3.70-3.75,False,3.6999999999999957,3.7499999999999956,141,0.7375886524822695,2.519999999999989,1.7872340425531836,1.3557692307692308
odd_1,1.85-1.90,False,1.8500000000000005,1.9000000000000006,80,0.7375,1.4199999999999946,1.7749999999999932,1.3559322033898304
odd_fav,1.45-1.50,False,1.4500000000000002,1.5000000000000002,68,0.7352941176470589,0.9999999999999929,1.4705882352941073,1.3599999999999999
odd_fav,1.75-1.80,False,1.7500000000000004,1.8000000000000005,101,0.7326732673267327,1.1199999999999903,1.1089108910890992,1.364864864864865
odd_1,1.75-1.80,False,1.7500000000000004,1.8000000000000005,82,0.7317073170731707,0.7999999999999936,0.9756097560975532,1.3666666666666667
odd_1,1.45-1.50,False,1.4500000000000002,1.5000000000000002,63,0.7301587301587301,0.4799999999999969,0.761904761904757,1.3695652173913044
odd_fav,1.85-1.90,False,1.8500000000000005,1.9000000000000006,100,0.73,0.7399999999999913,0.7399999999999913,1.36986301369863
odd_dog,3.45-3.50,False,3.4499999999999984,3.4999999999999982,139,0.7266187050359713,0.37999999999998835,0.2733812949640204,1.3762376237623761
odd_1,2.00-2.05,False,2.000000000000001,2.0500000000000007,120,0.725,0.05999999999998806,0.049999999999990045,1.3793103448275863
odd_2,2.35-2.40,False,2.350000000000001,2.4000000000000012,69,0.7246376811594203,-7.105427357601002e-15,-1.0297720808117394e-14,1.38
odd_fav,2.25-2.30,False,2.250000000000001,2.3000000000000007,123,0.7235772357723578,-0.18000000000000682,-0.1463414634146397,1.3820224719101122
spread_fav_dog,1.15-1.20,False,1.1500000000000001,1.2000000000000002,68,0.7205882352941176,-0.3800000000000061,-0.5588235294117737,1.3877551020408163
odd_dog,4.10-4.15,False,4.099999999999996,4.149999999999996,32,0.71875,-0.26000000000000156,-0.8125000000000049,1.391304347826087
